group_id,plant_key_name,unit_key_name,type,name,power
1,泊発電所,１号機,10,1号機,57.9
1,泊発電所,２号機,10,2号機,57.9
1,泊発電所,３号機,10,3号機,91.2
2,石狩湾新港発電所,１号機,44,1号機,56.94
3,苫東厚真発電所,１号機,31,1号機,35.0
3,苫東厚真発電所,２号機,32,2号機,60.0
3,苫東厚真発電所,４号機,33,4号機,70.0
4,砂川発電所,３号機,31,3号機,12.5
4,砂川発電所,４号機,31,4号機,12.5
5,奈井江発電所,１号機,31,1号機,17.5
5,奈井江発電所,２号機,31,2号機,17.5
6,苫小牧発電所,単独,50,,25.0
7,北海道ﾊﾟﾜｰｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社　苫小牧共同火力発電所3G,単独,50,5号機,25.0
8,知内発電所,１号機,50,1号機,35.0
8,知内発電所,２号機,50,2号機,35.0
9,日本製鉄（株）室蘭中央発電所 第5号発電設備,室蘭中央5号,31,5号機,10.0
10,釧路火力発電所,1,30,,11.2
11,伊達発電所,１号機,50,1号機,35.0
11,伊達発電所,２号機,50,2号機,35.0
12,京極発電所,１号機,21,1号機,20.0
12,京極発電所,２号機,21,2号機,20.0
13,新冠発電所,１号機,22,1号機,10.0
13,新冠発電所,２号機,22,2号機,10.0
14,高見発電所,１号機,22,1号機,10.0
14,高見発電所,２号機,22,2号機,14.0
15,女川原子力発電所,女川原子力発電所2号機,10,2号機,82.5
15,女川原子力発電所,女川原子力発電所3号機,10,3号機,82.5
16,東通原子力発電所,東通原子力発電所1号機,10,1号機,110.0
17,東北電力東新潟火力発電所１号機,１号機,92,1号機,60.0
17,東北電力東新潟火力発電所２号機,２号機,92,2号機,60.0
17,東北電力東新潟火力発電所３号系列,３-１号系列,41,3-1号系列,60.5
17,東北電力東新潟火力発電所３号系列,３-２号系列,41,3-2号系列,60.5
17,東北電力東新潟火力発電所４号系列,４-１号系列,43,4-1号系列,82.6
17,東北電力東新潟火力発電所４号系列,４-２号系列,43,4-2号系列,87.4
18,東北電力新仙台火力発電所３号系列,３-１号機,43,3-1号機,52.3
18,東北電力新仙台火力発電所３号系列,３-２号機,43,3-2号機,52.3
19,東北電力上越火力発電所１号機,１号機,44,1号機,57.2
20,東北電力仙台火力発電所４号機,４号機,42,4号機,46.8
21,東北電力八戸火力発電所５号機,５号機,42,5号機,41.6
22,福島天然ガス発電所,1号機,44,1号機,59.0
22,福島天然ガス発電所,2号機,44,2号機,59.0
23,東北電力原町火力発電所１号機,１号機,33,1号機,100.0
23,東北電力原町火力発電所２号機,２号機,33,2号機,100.0
24,東北電力能代火力発電所１号機,１号機,32,1号機,60.0
24,東北電力能代火力発電所２号機,２号機,33,2号機,60.0
24,東北電力能代火力発電所３号機,３号機,33,3号機,60.0
25,相馬共同火力発電株式会社新地火力発電所,新地1号機,32,1号機,100.0
25,相馬共同火力発電株式会社新地火力発電所,新地2号機,32,2号機,100.0
26,勿来発電所,勿来7号機,31,7号機,25.0
26,勿来発電所,勿来8号機（東北系）,32,8号機,60.0
26,勿来発電所,勿来9号機（東北系）,32,9号機,60.0
27,酒田共同火力発電所,１号機,31,１号機,35.0
27,酒田共同火力発電所,２号機,31,２号機,35.0
28,東北電力秋田火力発電所４号機,４号機,50,4号機,60.0
29,石巻雲雀野発電所,1号機,31,1号機,14.9
30,糸魚川発電所,単独,31,,14.9
31,日本製鉄(株) 釜石火力発電所,釜石火力発電所,31,,13.6
32,福島いわきバイオマス発電所,1,91,,11.2
33,相馬石炭・バイオマス発電所,単独,31,,11.2
34,仙台パワーステーション,単独,31,,11.2
35,電源開発奥只見発電所,1号機,20,1号機,12.0
35,電源開発奥只見発電所,2号機,20,2号機,12.0
35,電源開発奥只見発電所,3号機,20,3号機,12.0
35,電源開発奥只見発電所,4号機,20,4号機,20.0
36,電源開発田子倉発電所(東北),1号機,20,1号機,10.0
36,電源開発田子倉発電所(東北),2号機,20,2号機,10.0
36,電源開発田子倉発電所(東北),3号機,20,3号機,10.0
36,電源開発田子倉発電所(東北),4号機,20,4号機,10.0
37,電源開発奥清津発電所,1号機,21,1号機,25.0
37,電源開発奥清津発電所,2号機,21,2号機,25.0
37,電源開発奥清津発電所,3号機,21,3号機,25.0
37,電源開発奥清津発電所,4号機,21,4号機,25.0
37,電源開発奥清津第二発電所,1号機,21,第二1号機,30.0
37,電源開発奥清津第二発電所,2号機,21,第二2号機,30.0
38,電源開発下郷発電所,1号機,21,1号機,25.0
38,電源開発下郷発電所,2号機,21,2号機,25.0
38,電源開発下郷発電所,3号機,21,3号機,25.0
38,電源開発下郷発電所,4号機,21,4号機,25.0
39,第二沼沢発電所,１号機,21,1号機,23.0
39,第二沼沢発電所,２号機,21,2号機,23.0
40,東京柏崎刈羽,柏崎刈羽1号機,10,1号機,110.0
40,東京柏崎刈羽,柏崎刈羽2号機,10,2号機,110.0
40,東京柏崎刈羽,柏崎刈羽3号機,10,3号機,110.0
40,東京柏崎刈羽,柏崎刈羽4号機,10,4号機,110.0
40,東京柏崎刈羽,柏崎刈羽5号機,10,5号機,110.0
40,東京柏崎刈羽,柏崎刈羽6号機,10,6号機,135.6
40,東京柏崎刈羽,柏崎刈羽7号機,10,7号機,135.6
41,東海第二発電所,単独,10,,110.0
42,川崎火力発電所１号系列１軸,川崎１ー１軸,43,1-1軸,50.0
42,川崎火力発電所１号系列２軸,川崎１ー２軸,43,1-2軸,50.0
42,川崎火力発電所１号系列３軸,川崎１ー３軸,43,1-3軸,50.0
42,川崎火力発電所２号系列１軸,川崎２ー１軸,43,2-1軸,50.0
42,川崎火力発電所２号系列２軸,川崎２ー２軸,44,2-2軸,71.0
42,川崎火力発電所２号系列３軸,川崎２ー３軸,44,2-3軸,71.0
43,姉崎火力発電所新１号機,姉崎新1号,44,新1号機,64.69
43,姉崎火力発電所新２号機,姉崎新2号,44,新2号機,64.69
43,姉崎火力発電所新３号機,姉崎新3号,44,新3号機,64.69
43,姉崎火力発電所５号機,姉崎５号,40,5号機,60.0
43,姉崎火力発電所６号機,姉崎６号,40,6号機,60.0
44,富津火力発電所１号系列１軸,富津１ー１軸,41,1-1軸,16.7
44,富津火力発電所１号系列２軸,富津１ー２軸,41,1-2軸,16.7
44,富津火力発電所１号系列３軸,富津１ー３軸,41,1-3軸,16.7
44,富津火力発電所１号系列４軸,富津１ー４軸,41,1-4軸,16.7
44,富津火力発電所１号系列５軸,富津１ー５軸,41,1-5軸,16.7
44,富津火力発電所１号系列６軸,富津１ー６軸,41,1-6軸,16.7
44,富津火力発電所１号系列７軸,富津１ー７軸,41,1-7軸,16.5
45,富津火力発電所２号系列１軸,富津２ー１軸,42,2-1軸,16.2
